,suburb,median_price,p_type
401,Lake Gardens,552500,house
402,Lake Tyers Beach,357500,house
403,Lake Wendouree,836500,house
236,Lake Wendouree,473500,unit
404,Lakes Entrance,310000,house
237,Lakes Entrance,220000,unit
405,Lalor,590500,house
238,Lalor,442000,unit
214,Lalor Plaza,595250,house
215,Lalor Plaza,430250,unit
406,Lancefield,500000,house
407,Lang Lang,495000,house
408,Langwarrin,617500,house
239,Langwarrin,450500,unit
216,Langwarrin South,605000,house
217,Langwarrin South,431000,unit
409,Lara,495000,house
240,Lara,377500,unit
410,Lara Lake,540000,house
241,Lara Lake,379000,unit
411,Launching Place,554000,house
412,Laverton,529000,house
242,Laverton,505000,unit
218,Laverton North,635000,house
219,Laverton North,465000,unit
220,Laverton Raaf,738750,house
221,Laverton Raaf,530000,unit
413,Laverton South,622500,house
243,Laverton South,468000,unit
414,Learmonth,331000,house
415,Leneva,426000,house
416,Leongatha,367000,house
244,Leongatha,247500,unit
417,Leopold,510000,house
245,Leopold,391500,unit
418,Lilydale,680000,house
246,Lilydale,500000,unit
419,Linton,256500,house
420,Lismore,144500,house
222,Little River,637750,house
223,Little River,441250,unit
421,Loch Sport,244000,house
422,Lockington,222000,house
423,Long Gully,280000,house
247,Long Gully,255000,unit
424,Longwarry,405000,house
248,Longwarry,330000,unit
425,Lorne,1295000,house
249,Lorne,815000,unit
426,Lovely Banks,570000,house
427,Lower Plenty,905000,house
250,Lower Plenty,545000,unit
428,Lucas,431000,house
429,Lucknow,275000,house
430,Lynbrook,623000,house
251,Lynbrook,535000,unit
431,Lyndhurst,665000,house
432,Lysterfield,956500,house
433,Lysterfield South,1045000,house
224,Macclesfield,632000,house
225,Macclesfield,498375,unit
434,Macedon,800000,house
435,Macleod,914500,house
252,Macleod,655000,unit
226,Macleod West,919750,house
227,Macleod West,605125,unit
436,Macs Cove,300000,house
437,Maddingley,460000,house
253,Maddingley,365000,unit
438,Maffra,255000,house
254,Maffra,220000,unit
439,Maiden Gully,512500,house
440,Maidstone,779000,house
255,Maidstone,575000,unit
228,Main Ridge,797500,house
229,Main Ridge,540000,unit
441,Maldon,510000,house
442,Mallacoota,406500,house
443,Malmsbury,475000,house
444,Malvern,2550000,house
256,Malvern,720000,unit
445,Malvern East,1770000,house
257,Malvern East,633500,unit
230,Malvern North,1467500,house
231,Malvern North,641500,unit
232,Mambourin,632500,house
233,Mambourin,422500,unit
446,Manangatang,97000,house
447,Manifold Heights,715000,house
258,Manifold Heights,339000,unit
448,Manor Lakes,535000,house
449,Mansfield,456000,house
259,Mansfield,340000,unit
450,Marengo,687500,house
451,Maribyrnong,987500,house
260,Maribyrnong,510000,unit
452,Marong,420000,house
453,Marshall,486500,house
454,Maryborough,235500,house
261,Maryborough,208000,unit
234,Maryknoll,592250,house
235,Maryknoll,428750,unit
455,Marysville,462500,house
236,McCrae,797500,house
237,McCrae,540000,unit
456,Mccrae,795000,house
262,Mccrae,700000,unit
457,Mckenzie Hill,536500,house
458,McKinnon,1525000,house
263,McKinnon,785000,unit
238,Mcmahons Creek,518750,house
239,Mcmahons Creek,429500,unit
459,Meadow Heights,472500,house
264,Meadow Heights,376500,unit
265,Melbourne,474000,unit
240,Melbourne Airport,614125,house
241,Melbourne Airport,450250,unit
242,Melbourne University,950000,house
243,Melbourne University,521000,unit
460,Melton,385000,house
266,Melton,314000,unit
461,Melton South,390000,house
267,Melton South,299500,unit
462,Melton West,424000,house
268,Melton West,362000,unit
463,Mentone,1028000,house
269,Mentone,600000,unit
244,Mentone East,1228250,house
245,Mentone East,637125,unit
464,Menzies Creek,682500,house
465,Merbein,210000,house
466,Merinda Park,477000,house
246,Merlynston,932250,house
247,Merlynston,546500,unit
467,Mernda,552000,house
270,Mernda,385500,unit
248,Merricks,797500,house
249,Merricks,540000,unit
250,Merricks Beach,797500,house
251,Merricks Beach,540000,unit
252,Merricks North,797500,house
253,Merricks North,540000,unit
468,Merrijig (Mansfield),422500,house
469,Metung,425000,house
271,Metung,292500,unit
470,Mickleham,525000,house
254,Middle Camberwell,1422875,house
255,Middle Camberwell,735500,unit
471,Middle Park,2705000,house
272,Middle Park,735000,unit
472,Mildura,310000,house
273,Mildura,220000,unit
473,Mill Park,654000,house
274,Mill Park,444500,unit
474,Millgrove,415000,house
475,Miners Rest,428000,house
476,Minyip,114500,house
477,Mirboo North,327500,house
478,Mitcham,942000,house
275,Mitcham,696000,unit
256,Mitcham North,1010000,house
257,Mitcham North,672500,unit
479,Mitchell Park,313000,house
480,Moe,210000,house
276,Moe,163000,unit
258,Monash University,1009000,house
259,Monash University,635000,unit
481,Monbulk,630000,house
482,Mont Albert,1680000,house
277,Mont Albert,708500,unit
483,Mont Albert North,1380000,house
278,Mont Albert North,887000,unit
484,Montmorency,856000,house
279,Montmorency,685000,unit
485,Montrose,707500,house
486,Moonee Ponds,1300000,house
280,Moonee Ponds,483500,unit
260,Moonee Vale,950000,house
261,Moonee Vale,521000,unit
487,Moorabbin,1050000,house
281,Moorabbin,683000,unit
262,Moorabbin Airport,1228250,house
263,Moorabbin Airport,637125,unit
264,Moorooduc,797500,house
265,Moorooduc,540000,unit
488,Mooroolbark,670000,house
282,Mooroolbark,568500,unit
489,Mooroopna,249000,house
283,Mooroopna,175000,unit
266,Morang South,673125,house
267,Morang South,486250,unit
490,Mordialloc,1010000,house
284,Mordialloc,615000,unit
268,Moreland,932250,house
269,Moreland,546500,unit
270,Moreland West,950000,house
271,Moreland West,521000,unit
491,Mornington,800000,house
285,Mornington,643000,unit
492,Mortlake,164000,house
493,Morwell,180000,house
286,Morwell,175500,unit
494,Mount Beauty,294000,house
272,Mount Burnett,632000,house
273,Mount Burnett,498375,unit
495,Mount Clear,396500,house
287,Mount Clear,275500,unit
274,Mount Cottrell,632500,house
275,Mount Cottrell,422500,unit
496,Mount Dandenong,662000,house
497,Mount Duneed,563000,house
498,Mount Eliza,1157500,house
288,Mount Eliza,595000,unit
499,Mount Evelyn,636000,house
289,Mount Evelyn,580000,unit
500,Mount Helen,418500,house
501,Mount Macedon,775000,house
502,Mount Martha,1252500,house
290,Mount Martha,650000,unit
503,Mount Pleasant,377500,house
291,Mount Pleasant,245000,unit
504,Mount Waverley,1267000,house
292,Mount Waverley,954000,unit
276,Mountain Gate,671750,house
277,Mountain Gate,568000,unit
505,Mulgrave,840000,house
293,Mulgrave,731000,unit
506,Murchison,244500,house
507,Murrumbeena,1241500,house
294,Murrumbeena,510000,unit
508,Murtoa,119000,house
509,Myrtleford,315000,house
295,Myrtleford,310000,unit
510,Nagambie,414000,house
296,Nagambie,360000,unit
278,Nangana,632000,house
279,Nangana,498375,unit
280,Nar Nar Goon,592250,house
281,Nar Nar Goon,428750,unit
282,Nar Nar Goon North,592250,house
283,Nar Nar Goon North,428750,unit
511,Narre Warren,590000,house
297,Narre Warren,418000,unit
284,Narre Warren East,638375,house
285,Narre Warren East,499000,unit
512,Narre Warren North,1075000,house
513,Narre Warren South,625000,house
514,Nathalia,229000,house
515,Natimuk,148500,house
516,Neerim South,394000,house
517,Nelson,247500,house
518,Nerrina,617500,house
519,New Gisborne,695000,house
520,Newborough,256000,house
298,Newborough,203500,unit
521,Newcomb,435000,house
299,Newcomb,353500,unit
522,Newington,495000,house
523,Newlands Arm,444000,house
524,Newport,1055000,house
300,Newport,730000,unit
525,Newstead,436000,house
526,Newtown (Greater Geelong),825000,house
301,Newtown (Greater Geelong),562000,unit
527,Nhill,137000,house
528,Nichols Point,430000,house
529,Niddrie,1070000,house
302,Niddrie,656500,unit
530,Noble Park,629000,house
303,Noble Park,460000,unit
286,Noble Park East,875250,house
287,Noble Park East,571500,unit
531,Noble Park North,610000,house
304,Noble Park North,515000,unit
532,Noojee,224000,house
533,Norlane,349000,house
305,Norlane,300000,unit
534,North Bendigo,325000,house
306,North Bendigo,265000,unit
535,North Geelong,500000,house
307,North Geelong,396500,unit
536,North Melbourne,1297500,house
308,North Melbourne,477500,unit
288,North Road,1496250,house
289,North Road,655125,unit
290,North Warrandyte,880750,house
291,North Warrandyte,610000,unit
537,North Wonthaggi,389000,house
538,Northcote,1300000,house
309,Northcote,585500,unit
292,Northcote South,950000,house
293,Northcote South,572000,unit
294,Northland Centre,925000,house
295,Northland Centre,572000,unit
539,Notting Hill,875500,house
310,Notting Hill,396000,unit
540,Numurkah,252500,house
311,Numurkah,175000,unit
541,Nunawading,950000,house
312,Nunawading,590500,unit
296,Nutfield,594750,house
297,Nutfield,425000,unit
542,Nyah West,85000,house
543,Nyora,370000,house
544,Oak Park,840000,house
313,Oak Park,658000,unit
298,Oaklands Junction,595750,house
299,Oaklands Junction,435500,unit
545,Oakleigh,1101000,house
314,Oakleigh,540000,unit
546,Oakleigh East,942000,house
315,Oakleigh East,791500,unit
547,Oakleigh South,908000,house
316,Oakleigh South,697500,unit
548,Ocean Grove,695000,house
317,Ocean Grove,615000,unit
549,Officer,550000,house
318,Officer,430000,unit
550,Officer South,686000,house
551,Olinda,748000,house
552,Orbost,185500,house
553,Ormond,1467500,house
319,Ormond,605000,unit
554,Osborne,780000,house
320,Osborne,640000,unit
555,Ouyen,99000,house
556,Pakenham,485000,house
321,Pakenham,370000,unit
300,Pakenham South,592250,house
301,Pakenham South,428750,unit
302,Pakenham Upper,592250,house
303,Pakenham Upper,428750,unit
304,Panton Hill,751500,house
305,Panton Hill,547500,unit
557,Paradise Beach,200000,house
558,Park Orchards,1460000,house
559,Parkdale,1155000,house
322,Parkdale,672000,unit
560,Parkville,1480000,house
323,Parkville,458000,unit
561,Pascoe Vale,858500,house
324,Pascoe Vale,610000,unit
562,Pascoe Vale South,950000,house
325,Pascoe Vale South,600000,unit
306,Patterson,1467500,house
307,Patterson,641500,unit
563,Patterson Gardens,920000,house
564,Patterson Lakes,923000,house
326,Patterson Lakes,587500,unit
565,Paynesville,339000,house
327,Paynesville,295000,unit
566,Pearcedale,670000,house
567,Penshurst,165000,house
568,Peterborough,419000,house
308,Pines Forest,600000,house
309,Pines Forest,431000,unit
310,Pinewood,1087375,house
311,Pinewood,687500,unit
569,Pioneer Bay,310000,house
570,Plenty,1301000,house
312,Plumpton,594625,house
313,Plumpton,440250,unit
571,Point Cook,640500,house
328,Point Cook,465000,unit
314,Point Leo,797500,house
315,Point Leo,540000,unit
572,Point Lonsdale,827500,house
329,Point Lonsdale,595500,unit
573,Poowong,443000,house
574,Porepunkah,535000,house
575,Port Albert,250000,house
576,Port Fairy,630000,house
330,Port Fairy,522500,unit
577,Port Franklin,302500,house
578,Port Melbourne,1375000,house
331,Port Melbourne,729000,unit
579,Port Welshpool,315000,house
580,Portarlington,621500,house
332,Portarlington,494000,unit
581,Portland,267500,house
333,Portland,189500,unit
582,Portland North,276000,house
583,Portsea,1950000,house
316,Powelltown,592250,house
317,Powelltown,429500,unit
584,Prahran,1510000,house
334,Prahran,590000,unit
318,Prahran East,1380000,house
319,Prahran East,592500,unit
585,Preston,936500,house
335,Preston,490000,unit
320,Preston Lower,925000,house
321,Preston Lower,572000,unit
322,Preston South,925000,house
323,Preston South,572000,unit
324,Preston West,925000,house
325,Preston West,572000,unit
586,Princes Hill,2035000,house
587,Pyramid Hill,120000,house
326,Quandong,635000,house
327,Quandong,460000,unit
588,Quarry Hill,395000,house
336,Quarry Hill,283500,unit
589,Queenscliff,950000,house
590,Rainbow,75000,house
328,Rangeview,1010000,house
329,Rangeview,672500,unit
330,Ravenhall,594625,house
331,Ravenhall,440250,unit
591,Rawson,156000,house
592,Raymond Island,300000,house
593,Red Cliffs,217500,house
332,Red Hill,797500,house
333,Red Hill,540000,unit
334,Red Hill South,797500,house
335,Red Hill South,540000,unit
594,Redan,357000,house
337,Redan,260000,unit
336,Reefton,518750,house
337,Reefton,429500,unit
595,Research,930000,house
338,Research,672500,unit
596,Reservoir,750000,house
339,Reservoir,560500,unit
338,Reservoir East,919750,house
339,Reservoir East,546500,unit
340,Reservoir North,919750,house
341,Reservoir North,546500,unit
342,Reservoir South,919750,house
343,Reservoir South,546500,unit
597,Rhyll,565000,house
598,Richmond,1255000,house
340,Richmond,578500,unit
344,Richmond East,1382500,house
345,Richmond East,599125,unit
346,Richmond North,1382500,house
347,Richmond North,599125,unit
348,Richmond South,1382500,house
349,Richmond South,599125,unit
599,Riddells Creek,695000,house
341,Riddells Creek,490000,unit
600,Ringwood,813500,house
342,Ringwood,532000,unit
601,Ringwood East,809000,house
343,Ringwood East,628000,unit
602,Ringwood North,871000,house
344,Ringwood North,640000,unit
603,Rippleside,810000,house
345,Ripponlea,525500,unit
350,Robinson,849250,house
351,Robinson,516000,unit
604,Robinvale,225000,house
605,Rochester,255000,house
606,Rockbank,497000,house
607,Romsey,580500,house
346,Romsey,425000,unit
608,Rosanna,1042500,house
347,Rosanna,685000,unit
609,Rosebud,545000,house
348,Rosebud,525000,unit
352,Rosebud Plaza,797500,house
353,Rosebud Plaza,540000,unit
610,Rosebud South,682500,house
349,Rosebud South,520000,unit
611,Rosedale,247000,house
612,Rowville,820500,house
350,Rowville,578000,unit
613,Roxburgh Park,540000,house
351,Roxburgh Park,401000,unit
614,Rushworth,197500,house
615,Rutherglen,280000,house
616,Rye,690000,house
352,Rye,475000,unit
354,Rythdale,592250,house
355,Rythdale,428750,unit
617,Safety Beach,785000,house
353,Safety Beach,665000,unit
618,Sailors Gully,280000,house
356,Saint Helena,751500,house
357,Saint Helena,547500,unit
619,Sale,325000,house
354,Sale,210000,unit
620,San Remo,554500,house
355,San Remo,228000,unit
621,Sanctuary Lakes,620000,house
356,Sanctuary Lakes,535000,unit
622,Sandhurst,815000,house
357,Sandhurst,592500,unit
358,Sandown Village,931500,house
359,Sandown Village,605500,unit
623,Sandringham,1650000,house
358,Sandringham,781000,unit
624,Sandy Point,410000,house
625,Sassafras,805000,house
360,Sassafras Gully,738375,house
361,Sassafras Gully,573750,unit
626,Scoresby,767000,house
359,Scoresby,574500,unit
627,Sea Lake,100000,house
628,Seabrook,626500,house
629,Seaford,655000,house
360,Seaford,495000,unit
630,Seaholme,1020000,house
631,Seaspray,265000,house
632,Sebastopol,315000,house
361,Sebastopol,235500,unit
633,Seddon,960000,house
362,Seddon,696000,unit
362,Seddon West,971000,house
363,Seddon West,519250,unit
634,Selby,601500,house
635,Seville,620000,house
636,Seville East,580000,house
637,Seymour,300000,house
363,Seymour,195000,unit
638,Shepparton,282000,house
364,Shepparton,252000,unit
639,Shepparton North,393000,house
364,Sherbrooke,671750,house
365,Sherbrooke,568000,unit
640,Shoreham,1500000,house
366,Silvan,671750,house
367,Silvan,568000,unit
641,Silverleaves,618500,house
642,Skenes Creek,667500,house
643,Skipton,200000,house
644,Skye,600000,house
365,Skye,445000,unit
645,Smiths Beach,624500,house
368,Smiths Gully,751500,house
369,Smiths Gully,547500,unit
646,Smythesdale,340000,house
647,Soldiers Hill,480000,house
366,Soldiers Hill,331000,unit
648,Somers,950000,house
370,Somerton,595250,house
371,Somerton,430250,unit
649,Somerville,600000,house
367,Somerville,453500,unit
650,Sorrento,1465000,house
368,Sorrento,890000,unit
651,South Dudley,339000,house
652,South Geelong,702500,house
653,South Kingsville,859000,house
369,South Kingsville,643000,unit
654,South Melbourne,1355000,house
370,South Melbourne,582500,unit
655,South Morang,625500,house
371,South Morang,407000,unit
656,South Yarra,1767500,house
372,South Yarra,580000,unit
373,Southbank,582500,unit
372,Southland Centre,1228250,house
373,Southland Centre,637125,unit
657,Spotswood,960000,house
374,Spotswood,650000,unit
658,Spring Gully,386500,house
375,Spring Gully,280000,unit
659,Springvale,743000,house
376,Springvale,508000,unit
660,Springvale South,678000,house
377,Springvale South,470000,unit
661,St Albans,590000,house
378,St Albans,430000,unit
662,St Albans Park,422000,house
379,St Albans Park,377500,unit
663,St Andrews Beach,930000,house
664,St Arnaud,175000,house
665,St Helena,905000,house
666,St Kilda,1600000,house
380,St Kilda,535000,unit
667,St Kilda East,1560000,house
381,St Kilda East,590000,unit
668,St Kilda West,2078500,house
382,St Kilda West,595000,unit
669,St Leonards,562500,house
383,St Leonards,419000,unit
670,Stanhope,174000,house
671,Stawell,189000,house
384,Stawell,244000,unit
374,Steels Creek,711625,house
375,Steels Creek,557750,unit
672,Stratford,316500,house
673,Strathdale,453500,house
385,Strathdale,273500,unit
376,Strathewen,594750,house
377,Strathewen,425000,unit
674,Strathfieldsaye,476500,house
675,Strathmerton,195000,house
676,Strathmore,1310000,house
386,Strathmore,732000,unit
677,Strathmore Heights,800000,house
678,Strathtulloh,515000,house
387,Strathtulloh,420000,unit
679,Studfield,811000,house
388,Studfield,721000,unit
680,Sunbury,535000,house
389,Sunbury,395000,unit
681,Sunderland Bay,412000,house
682,Sunnycliffs,239000,house
683,Sunset Strip,460000,house
684,Sunshine,720000,house
390,Sunshine,390000,unit
685,Sunshine North,630000,house
391,Sunshine North,512000,unit
686,Sunshine West,635000,house
392,Sunshine West,480000,unit
687,Surf Beach,510000,house
688,Surrey Hills,1886500,house
393,Surrey Hills,756000,unit
378,Surrey Hills North,1422875,house
379,Surrey Hills North,735500,unit
380,Surrey Hills South,1165750,house
381,Surrey Hills South,731000,unit
689,Swan Hill,285000,house
394,Swan Hill,245000,unit
690,Sydenham,599500,house
395,Sydenham,416000,unit
691,Syndal,1524500,house
396,Syndal,880000,unit
692,Tallangatta,251500,house
693,Tarneit,555000,house
397,Tarneit,388000,unit
382,Tarrawarra,711625,house
383,Tarrawarra,557750,unit
694,Tatura,276500,house
398,Tatura,221000,unit
695,Tawonga,460000,house
696,Tawonga South,400000,house
697,Taylors Hill,702500,house
698,Taylors Lakes,748500,house
699,Tecoma,662500,house
700,Templestowe,1276500,house
399,Templestowe,740000,unit
701,Templestowe Lower,1080000,house
400,Templestowe Lower,765000,unit
702,Terang,190000,house
703,The Basin,695000,house
704,The Honeysuckles,336000,house
705,The Patch,755000,house
384,The Pines,1087875,house
385,The Pines,706250,unit
706,Thomastown,592000,house
401,Thomastown,457500,unit
707,Thomson (Greater Geelong),400500,house
402,Thomson (Greater Geelong),400500,unit
708,Thornbury,1135000,house
403,Thornbury,602000,unit
709,Thornhill Park,535000,house
386,Three Bridges,592250,house
387,Three Bridges,429500,unit
710,Timboon,260000,house
711,Tongala,234500,house
388,Tonimbuk,553625,house
389,Tonimbuk,429125,unit
712,Toongabbie,270000,house
713,Toora,275000,house
714,Tooradin,700000,house
715,Toorak,4361000,house
404,Toorak,1085500,unit
716,Tootgarook,580000,house
717,Torquay,820000,house
405,Torquay,615000,unit
390,Tottenham,842500,house
391,Tottenham,516000,unit
718,Trafalgar,397500,house
406,Trafalgar,310000,unit
719,Traralgon,325000,house
407,Traralgon,215000,unit
720,Traralgon East,470000,house
721,Travancore,1125000,house
408,Travancore,348000,unit
392,Tremont,738375,house
393,Tremont,573750,unit
722,Trentham,614000,house
723,Truganina,575000,house
409,Truganina,415000,unit
394,Tuerong,797500,house
395,Tuerong,540000,unit
724,Tullamarine,612000,house
410,Tullamarine,480000,unit
725,Tyabb,580500,house
411,Tyabb,443000,unit
726,Tylden,492500,house
396,Tynong,592250,house
397,Tynong,428750,unit
398,Tynong North,592250,house
399,Tynong North,428750,unit
400,University Of Melbourne,1267000,house
401,University Of Melbourne,590000,unit
727,Upper Ferntree Gully,642500,house
728,Upwey,702500,house
729,Ventnor,535000,house
730,Venus Bay,330000,house
731,Vermont,937000,house
412,Vermont,725000,unit
732,Vermont South,1166500,house
413,Vermont South,772500,unit
402,Vervale,592250,house
403,Vervale,428750,unit
733,Viewbank,920000,house
414,Viewbank,643500,unit
734,Violet Town,287500,house
735,Wahgunyah,355000,house
736,Walkerville,334500,house
737,Wallan,477500,house
415,Wallan,360000,unit
738,Wallan East,450000,house
416,Wallan East,358000,unit
739,Wandana Heights,766500,house
404,Wandin East,632000,house
405,Wandin East,498375,unit
740,Wandin North,627500,house
741,Wangaratta,319000,house
417,Wangaratta,229500,unit
742,Wantirna,860000,house
418,Wantirna,635000,unit
743,Wantirna South,988500,house
419,Wantirna South,495000,unit
744,Warburton,515000,house
745,Warneet,512500,house
746,Warracknabeal,118000,house
747,Warragul,460000,house
420,Warragul,300000,unit
748,Warrandyte,987500,house
406,Warrandyte South,920000,house
407,Warrandyte South,641250,unit
749,Warranwood,935000,house
750,Warrnambool,370000,house
421,Warrnambool,280000,unit
408,Watergardens,632500,house
409,Watergardens,465000,unit
751,Waterways,1270000,house
752,Watsonia,736000,house
422,Watsonia,495000,unit
753,Watsonia North,726500,house
410,Watsons Creek,880750,house
411,Watsons Creek,610000,unit
754,Wattle Glen,778500,house
412,Wattle Park,1165750,house
413,Wattle Park,740000,unit
755,Waurn Ponds,641500,house
414,Waverley Gardens,805000,house
415,Waverley Gardens,579500,unit
756,Wedderburn,138500,house
757,Weir Views,462500,house
758,Wendouree,335000,house
423,Wendouree,270000,unit
759,Wendouree West,257500,house
760,Werribee,510000,house
424,Werribee,380000,unit
761,Werribee South,744500,house
425,Werribee South,465000,unit
762,Wesburn,530000,house
763,West Footscray,787500,house
426,West Footscray,450000,unit
764,West Melbourne,1085000,house
427,West Melbourne,599000,unit
765,West Wodonga,342500,house
428,West Wodonga,235000,unit
766,Westall,730000,house
429,Westall,570000,unit
767,Westgarth,1505000,house
430,Westgarth,550000,unit
768,Westmeadows,620000,house
431,Westmeadows,510500,unit
769,Wheelers Hill,1009000,house
432,Wheelers Hill,803000,unit
770,White Hills,330000,house
433,White Hills,255000,unit
771,Whittington,377500,house
434,Whittington,299000,unit
772,Whittlesea,577500,house
435,Whittlesea,330000,unit
416,Wildwood,556750,house
417,Wildwood,415500,unit
773,Willaura,110000,house
774,Williams Landing,660000,house
436,Williams Landing,395000,unit
775,Williamstown,1350000,house
437,Williamstown,600000,unit
776,Williamstown North,915000,house
438,Williamstown North,737500,unit
777,Wimbledon Heights,386500,house
778,Winchelsea,430000,house
439,Winchelsea,348000,unit
779,Windsor,1350000,house
440,Windsor,487500,unit
780,Winter Valley,435000,house
418,Wishart,1467500,house
419,Wishart,641500,unit
781,Wodonga,330500,house
441,Wodonga,221500,unit
782,Wollert,577500,house
442,Wollert,420000,unit
783,Wonga Park,1111000,house
784,Wonthaggi,375000,house
443,Wonthaggi,315000,unit
785,Woodend,747500,house
444,Woodend,516000,unit
420,Woodstock,594750,house
421,Woodstock,425000,unit
786,Woolamai Waters,495500,house
787,Woori Yallock,510000,house
422,World Trade Centre,1267000,house
423,World Trade Centre,590000,unit
788,Wy Yung,349000,house
789,Wycheproof,141500,house
790,Wye River,1300000,house
791,Wyndham Vale,465000,house
445,Wyndham Vale,378000,unit
792,Yackandandah,497500,house
793,Yallambie,792500,house
794,Yallourn North,191000,house
424,Yan Yean,673125,house
425,Yan Yean,486250,unit
795,Yarra Glen,670000,house
446,Yarra Glen,425000,unit
796,Yarra Junction,582500,house
447,Yarra Junction,461500,unit
797,Yarragon,410000,house
798,Yarram,240000,house
426,Yarrambat,673125,house
427,Yarrambat,486250,unit
799,Yarraville,971000,house
448,Yarraville,654000,unit
428,Yarraville West,971000,house
429,Yarraville West,590000,unit
800,Yarrawonga,375000,house
449,Yarrawonga,275000,unit
801,Yea,435500,house
430,Yellingbo,632000,house
431,Yellingbo,498375,unit
432,Yering,711625,house
433,Yering,557750,unit
802,Yinnar,255000,house
434,Yuroke,595750,house
435,Yuroke,435500,unit
